N,ATE,K,mean_stop_gsht,mean_stop_avi,mean_stop_avi_t_scale,mean_power_gsht_n,mean_power_avi_n,mean_power_gsht_t,mean_power_avi_t
500,0.05,5,4.93,479.77,4.7977,0.059999999999999956,0.049999999999999996,0.029999999999999985,0.049999999999999996
500,0.05,10,9.8,490.15,9.803,0.04999999999999999,0.02999999999999998,0.04999999999999999,0.02999999999999998
500,0.05,25,23.43,455.6,22.78,0.11,0.09999999999999998,0.09999999999999998,0.09999999999999998
500,0.05,50,49.48,480.85,48.085,0.029999999999999985,0.05999999999999996,0.029999999999999985,0.05999999999999996
500,0.05,100,95.75,484.77,96.954,0.07999999999999999,0.03999999999999999,0.07999999999999999,0.03999999999999999
500,0.1,5,4.74,449.53,4.4953,0.13999999999999996,0.17000000000000004,0.09999999999999995,0.17000000000000004
500,0.1,10,9.61,441.32,8.8264,0.13999999999999996,0.17,0.09999999999999999,0.17
500,0.1,25,23.62,477.84000000000003,23.892,0.15000000000000002,0.09999999999999996,0.15000000000000002,0.09999999999999996
500,0.1,50,46.63,468.41999999999996,46.842,0.15999999999999998,0.08999999999999997,0.15000000000000005,0.08999999999999997
500,0.1,100,93.1,465.08,93.016,0.17000000000000004,0.11,0.15999999999999995,0.11
500,0.5,5,1.7200000000000002,83.95,0.8395,1,1,0.44,0.92
500,0.5,10,2.9699999999999998,73.67,1.4734,1,1,0.46,0.92
500,0.5,25,7.32,76.6,3.83,0.99,1,0.6,0.92
500,0.5,50,14.620000000000001,68.59,6.859,1,1,0.5,0.9299999999999999
500,0.5,100,29.95,95.47999999999999,19.096,1,1,0.6,0.81
1000,0.05,5,4.9,968.71,4.84355,0.06999999999999997,0.03999999999999999,0.049999999999999996,0.03999999999999999
1000,0.05,10,9.42,930.99,9.3099,0.11999999999999995,0.06999999999999997,0.10999999999999999,0.06999999999999997
1000,0.05,25,24.27,972.99,24.32475,0.07999999999999997,0.02999999999999998,0.07999999999999997,0.02999999999999998
1000,0.05,50,46.709999999999994,959.33,47.9665,0.1599999999999999,0.059999999999999956,0.1300000000000001,0.059999999999999956
1000,0.05,100,96.9,951.14,95.114,0.11999999999999994,0.06999999999999998,0.11,0.06999999999999998
1000,0.1,5,4.54,915.71,4.57855,0.30000000000000004,0.18000000000000005,0.21000000000000002,0.16
1000,0.1,10,9.09,901.89,9.0189,0.30999999999999994,0.19000000000000003,0.27999999999999997,0.18000000000000002
1000,0.1,25,22.43,907.98,22.6995,0.27999999999999997,0.19000000000000003,0.23,0.15999999999999995
1000,0.1,50,44.16,889.7,44.485,0.31999999999999995,0.2,0.27,0.17000000000000004
1000,0.1,100,86.32,905.4699999999999,90.547,0.2700000000000001,0.17000000000000004,0.2600000000000001,0.13999999999999996
1000,0.5,5,1.27,94.16,0.4708,1,1,0.73,0.99
1000,0.5,10,1.7799999999999998,69.95,0.6995,1,1,0.36000000000000004,0.95
1000,0.5,25,4.35,85.66,2.1415,1,1,0.6,0.93
1000,0.5,50,8.25,85.66999999999999,4.2835,1,1,0.5900000000000001,0.89
1000,0.5,100,16.589999999999996,87.38,8.738,1,1,0.56,0.8400000000000001
5000,0.05,5,4.49,4687.98,4.6879800000000005,0.29,0.11999999999999995,0.25,0.1
5000,0.05,10,8.61,4395.49,8.79098,0.33999999999999997,0.22000000000000003,0.27,0.17
5000,0.05,25,20.9,4532.7,22.6635,0.4000000000000001,0.20000000000000004,0.29,0.15000000000000002
