N,ATE,K,mean_stop_gsht,mean_stop_avi,mean_stop_avi_t_scale,mean_power_gsht_n,mean_power_avi_n,mean_power_gsht_t,mean_power_avi_t
500,0.05,10,9.8,490.15,9.803,0.04999999999999999,0.02999999999999998,0.04999999999999999,0.02999999999999998
500,0.05,100,95.75,484.77,96.954,0.07999999999999999,0.03999999999999999,0.07999999999999999,0.03999999999999999
500,0.1,25,23.62,477.84000000000003,23.892,0.15000000000000002,0.09999999999999996,0.15000000000000002,0.09999999999999996
500,0.1,50,46.63,468.41999999999996,46.842,0.15999999999999998,0.08999999999999997,0.15000000000000005,0.08999999999999997
500,0.1,100,93.1,465.08,93.016,0.17000000000000004,0.11,0.15999999999999995,0.11
1000,0.05,5,4.9,968.71,4.84355,0.06999999999999997,0.03999999999999999,0.049999999999999996,0.03999999999999999
1000,0.05,10,9.42,930.99,9.3099,0.11999999999999995,0.06999999999999997,0.10999999999999999,0.06999999999999997
1000,0.05,25,24.27,972.99,24.32475,0.07999999999999997,0.02999999999999998,0.07999999999999997,0.02999999999999998
1000,0.05,50,46.709999999999994,959.33,47.9665,0.1599999999999999,0.059999999999999956,0.1300000000000001,0.059999999999999956
1000,0.05,100,96.9,951.14,95.114,0.11999999999999994,0.06999999999999998,0.11,0.06999999999999998
1000,0.1,5,4.54,915.71,4.57855,0.30000000000000004,0.18000000000000005,0.21000000000000002,0.16
1000,0.1,10,9.09,901.89,9.0189,0.30999999999999994,0.19000000000000003,0.27999999999999997,0.18000000000000002
1000,0.1,25,22.43,907.98,22.6995,0.27999999999999997,0.19000000000000003,0.23,0.15999999999999995
1000,0.1,50,44.16,889.7,44.485,0.31999999999999995,0.2,0.27,0.17000000000000004
1000,0.1,100,86.32,905.4699999999999,90.547,0.2700000000000001,0.17000000000000004,0.2600000000000001,0.13999999999999996
5000,0.05,5,4.49,4687.98,4.6879800000000005,0.29,0.11999999999999995,0.25,0.1
5000,0.05,10,8.61,4395.49,8.79098,0.33999999999999997,0.22000000000000003,0.27,0.17
5000,0.05,25,20.9,4532.7,22.6635,0.4000000000000001,0.20000000000000004,0.29,0.15000000000000002
5000,0.05,50,42.41,4259.32,42.5932,0.35,0.25,0.31999999999999995,0.21000000000000002
5000,0.05,100,87.33,4474.09,89.4818,0.3,0.17000000000000004,0.25,0.17000000000000004
8000,0.05,5,3.76,6444.6,4.027875,0.56,0.38000000000000006,0.38999999999999996,0.31
8000,0.05,10,7.62,6147.75,7.6846875,0.6100000000000001,0.47,0.38999999999999996,0.35
8000,0.05,25,19.39,6202.759999999999,19.383625000000002,0.5700000000000001,0.47000000000000003,0.41000000000000003,0.32
8000,0.05,50,38.7,6586.3,41.164375,0.5700000000000001,0.42000000000000004,0.4,0.29999999999999993
8000,0.05,100,73.86,6508.88,81.361,0.6100000000000001,0.37,0.44000000000000006,0.27
10000,0.05,10,7.470000000000001,7929.9,7.9299,0.61,0.49,0.41,0.33999999999999997
10000,0.05,25,19.31,7763.84,19.4096,0.5900000000000001,0.56,0.43000000000000005,0.38000000000000006
10000,0.05,50,36.55,8019.48,40.0974,0.5900000000000001,0.4899999999999998,0.43000000000000005,0.26000000000000006
10000,0.05,100,79.36,8177.07,81.7707,0.56,0.43000000000000005,0.38000000000000006,0.31
